employee_id,first_name,last_name,email,phone_number,job_title,password,address,national_id,department,salary
1,Susan,Garcia,phamkrystal@example.net,933-231-8626,Comptroller,2uWdlIuk_2VG,215 Harvey Trail Wrightville  AS 17049,083-52-3529,IT,53457
2,Jennifer,Hoover,william80@example.net,+1-762-388-1895,Civil Service administrator,+3aKuTY05lbC,PSC 9890  Box 5786 APO AP 79749,299-88-0495,HR,54754
3,Andrew,Herrera,heather31@example.org,+1-946-875-0421x641,Furniture conservator/restorer,)5(eskmc7*Sz,5118 Davis Lakes New Sandra  NV 34872,775-85-0207,HR,101956
4,Pam,Mendez,thaney@example.net,673.976.5944,Petroleum engineer,L8e#(POxtMQ5,2070 Bowers Neck Port Andrewhaven  PW 26802,138-80-4431,IT,48483
5,Jennifer,Washington,mariafrazier@example.com,676.287.5544x20477,Photographer,*ruGNjOFQ42b,359 Rachel Spring New Charlesville  SC 90265,178-41-0999,HR,40120
6,Holly,Duran,ktran@example.net,888.904.8930,Paediatric nurse,$8NM+NgepMzj,42221 Horton Causeway Apt. 706 West Tinachester  ID 10957,234-09-2286,Operations,96183
7,Marissa,Bennett,vdawson@example.org,2158520622,Administrator  local government,3dV0MzOyK(1W,4317 Jennifer Forks Apt. 313 New Danielfort  TX 52677,435-04-6731,Finance,79933
8,Joseph,Peterson,mlee@example.net,537.626.6861,Designer  graphic,%DMSd3j!6Z7&,4389 Robinson Centers East Andrewtown  NM 71087,521-51-8345,Operations,50782
9,Gregory,Johnson,ellen09@example.org,+1-737-227-3900x7651,Hydrologist,$5&Xqk9^PUZf,334 Sullivan Ridge Ruizland  ND 57736,596-82-5849,Finance,77599
10,Andres,Allen,hinescarrie@example.com,+1-886-757-7256,Legal secretary,a59Iew%#&ZZL,4547 Joseph Ville Lake Kyle  KY 77965,167-27-3039,IT,71246
11,Jason,Torres,cynthiapotts@example.org,430-565-3825x15659,Administrator  arts,*4X@Amc0AN#1,9496 Derek Skyway West Kevinview  ME 69488,155-41-2648,HR,115238
12,Larry,Salazar,ustewart@example.org,540-314-7888x945,Farm manager,$6DpeMd36+2y,3651 Calvin Springs Suite 605 North Vincent  RI 42355,394-39-6412,HR,113419
13,Eric,Finley,shane89@example.net,432.749.6678x0710,General practice doctor,1*KhmeUq!1QT,702 Samantha Burgs Suite 588 Port Ricardo  KY 31513,333-08-9522,Operations,64343
